ST,STATE,CHARACTERISTIC,PUMS_EST_18,PUMS_SE_18,PUMS_MOE_18
30,Montana,Owned with a mortgage (TEN=1),164531,3935,6473
30,Montana,Owned free and clear (TEN=2),127730,3855,6342
30,Montana,Rented for cash (TEN=3),126304,4158,6840
30,Montana,No cash rent (TEN=4),12854,1442,2372
30,Montana,Total vacant units,83742,2712,4461
30,Montana,For rent (VACS=1),12408,1863,3065
30,Montana,For sale only (VACS=3),3150,790,1300
30,Montana,"All Other Vacant (VACS in 2,4,5,6,7)",68184,2494,4102
31,Nebraska,Total population,1929268,0,0
31,Nebraska,Housing unit population (RELP=0-15),1878153,0,0
31,Nebraska,GQ population (RELP=16-17),51115,0,0
31,Nebraska,GQ institutional population (RELP=16),23693,7,11
31,Nebraska,GQ noninstitutional population (RELP=17),27422,7,11
31,Nebraska,Total males (SEX=1),959397,3029,4983
31,Nebraska,Total females (SEX=2),969871,3029,4983
31,Nebraska,Age 0-4,126690,1910,3143
31,Nebraska,Age 5-9,133219,3931,6467
31,Nebraska,Age 10-14,137329,3697,6081
31,Nebraska,Age 15-19,133571,2827,4650
31,Nebraska,Age 20-24,128710,2453,4035
31,Nebraska,Age 25-34,255464,3216,5290
31,Nebraska,Age 35-44,247415,3225,5304
31,Nebraska,Age 45-54,220006,2380,3915
31,Nebraska,Age 55-59,123018,3287,5407
31,Nebraska,Age 60-64,120453,3152,5185
31,Nebraska,Age 65-74,173289,1302,2141
31,Nebraska,Age 75-84,88033,2392,3934
31,Nebraska,Age 85 and over,42071,2096,3449
31,Nebraska,Total housing units (TYPE=1),845011,103,170
31,Nebraska,Total occupied units,765490,2357,3878
31,Nebraska,"Owner occupied units (TEN in 1,2)",510899,4521,7437
31,Nebraska,"Renter occupied units (TEN in 3,4)",254591,4661,7667
31,Nebraska,Owned with a mortgage (TEN=1),295366,4586,7543
31,Nebraska,Owned free and clear (TEN=2),215533,4424,7277
31,Nebraska,Rented for cash (TEN=3),239938,4968,8172
31,Nebraska,No cash rent (TEN=4),14653,1543,2538
31,Nebraska,Total vacant units,79521,2394,3938
31,Nebraska,For rent (VACS=1),15467,1951,3209
31,Nebraska,For sale only (VACS=3),5941,1125,1851
31,Nebraska,"All Other Vacant (VACS in 2,4,5,6,7)",58113,2665,4384
32,Nevada,Total population,3034392,0,0
32,Nevada,Housing unit population (RELP=0-15),2996777,0,0
32,Nevada,GQ population (RELP=16-17),37615,0,0
32,Nevada,GQ institutional population (RELP=16),27377,3,6
32,Nevada,GQ noninstitutional population (RELP=17),10238,3,6
32,Nevada,Total males (SEX=1),1521453,2385,3924
32,Nevada,Total females (SEX=2),1512939,2385,3924
32,Nevada,Age 0-4,182795,1459,2400
32,Nevada,Age 5-9,187343,4071,6697
32,Nevada,Age 10-14,205138,4006,6590
32,Nevada,Age 15-19,180851,2115,3479
32,Nevada,Age 20-24,180007,2491,4097
32,Nevada,Age 25-34,440919,2729,4488
32,Nevada,Age 35-44,408952,2844,4679
32,Nevada,Age 45-54,393770,2574,4234
32,Nevada,Age 55-59,190773,3481,5726
32,Nevada,Age 60-64,185402,3505,5765
32,Nevada,Age 65-74,296059,1372,2258
32,Nevada,Age 75-84,139523,2418,3978
32,Nevada,Age 85 and over,42860,2470,4062
32,Nevada,Total housing units (TYPE=1),1268717,92,151
32,Nevada,Total occupied units,1129807,3939,6479
32,Nevada,"Owner occupied units (TEN in 1,2)",642899,4944,8133
32,Nevada,"Renter occupied units (TEN in 3,4)",486908,4941,8127
32,Nevada,Owned with a mortgage (TEN=1),434603,5218,8584
32,Nevada,Owned free and clear (TEN=2),208296,4294,7063
32,Nevada,Rented for cash (TEN=3),474901,5003,8230
32,Nevada,No cash rent (TEN=4),12007,1083,1781
32,Nevada,Total vacant units,138910,3927,6459
32,Nevada,For rent (VACS=1),47425,2547,4190
32,Nevada,For sale only (VACS=3),10537,1553,2554
32,Nevada,"All Other Vacant (VACS in 2,4,5,6,7)",80948,3594,5913
33,New Hampshire,Total population,1356410,153,251
33,New Hampshire,Housing unit population (RELP=0-15),1313868,153,251
33,New Hampshire,GQ population (RELP=16-17),42542,0,0
33,New Hampshire,GQ institutional population (RELP=16),15365,3,6
33,New Hampshire,GQ noninstitutional population (RELP=17),27177,3,6
33,New Hampshire,Total males (SEX=1),671885,1922,3162
33,New Hampshire,Total females (SEX=2),684525,1910,3141
33,New Hampshire,Age 0-4,64505,1026,1688
33,New Hampshire,Age 5-9,71261,2378,3912
33,New Hampshire,Age 10-14,73965,2404,3955
33,New Hampshire,Age 15-19,89412,1941,3193
33,New Hampshire,Age 20-24,86395,2052,3376
33,New Hampshire,Age 25-34,168244,1931,3176
33,New Hampshire,Age 35-44,155137,1622,2668
33,New Hampshire,Age 45-54,189246,1550,2550
33,New Hampshire,Age 55-59,111200,3175,5222
33,New Hampshire,Age 60-64,101670,3230,5313
33,New Hampshire,Age 65-74,146782,882,1451
33,New Hampshire,Age 75-84,67301,1883,3097
33,New Hampshire,Age 85 and over,31292,1888,3106
33,New Hampshire,Total housing units (TYPE=1),638128,116,191
33,New Hampshire,Total occupied units,531226,3461,5693
33,New Hampshire,"Owner occupied units (TEN in 1,2)",376414,4773,7851
33,New Hampshire,"Renter occupied units (TEN in 3,4)",154812,3659,6019
33,New Hampshire,Owned with a mortgage (TEN=1),242132,4658,7663
33,New Hampshire,Owned free and clear (TEN=2),134282,3710,6103
33,New Hampshire,Rented for cash (TEN=3),150252,3583,5893
33,New Hampshire,No cash rent (TEN=4),4560,651,1070
33,New Hampshire,Total vacant units,106902,3463,5697
33,New Hampshire,For rent (VACS=1),8231,1264,2079
33,New Hampshire,For sale only (VACS=3),4501,1196,1968
33,New Hampshire,"All Other Vacant (VACS in 2,4,5,6,7)",94170,3109,5114
34,New Jersey,Total population,8908520,0,0
34,New Jersey,Housing unit population (RELP=0-15),8726407,0,0
34,New Jersey,GQ population (RELP=16-17),182113,0,0
34,New Jersey,GQ institutional population (RELP=16),93528,52,86
34,New Jersey,GQ noninstitutional population (RELP=17),88585,52,86
34,New Jersey,Total males (SEX=1),4344914,3484,5731
34,New Jersey,Total females (SEX=2),4563606,3484,5731
34,New Jersey,Age 0-4,515162,2509,4127
34,New Jersey,Age 5-9,521560,6877,11312
34,New Jersey,Age 10-14,576830,6867,11296
34,New Jersey,Age 15-19,546003,4376,7198
34,New Jersey,Age 20-24,563891,4563,7506
34,New Jersey,Age 25-34,1138626,4185,6884
34,New Jersey,Age 35-44,1162410,4309,7089
34,New Jersey,Age 45-54,1225873,4137,6805
34,New Jersey,Age 55-59,633092,6270,10314
34,New Jersey,Age 60-64,584476,6491,10677
34,New Jersey,Age 65-74,810294,2955,4861
34,New Jersey,Age 75-84,429080,4338,7137
34,New Jersey,Age 85 and over,201223,4314,7096
34,New Jersey,Total housing units (TYPE=1),3628198,197,324
34,New Jersey,Total occupied units,3249570,5998,9867
34,New Jersey,"Owner occupied units (TEN in 1,2)",2078854,9269,15248
34,New Jersey,"Renter occupied units (TEN in 3,4)",1170716,8976,14766
34,New Jersey,Owned with a mortgage (TEN=1),1375124,9536,15687
34,New Jersey,Owned free and clear (TEN=2),703730,7386,12150
34,New Jersey,Rented for cash (TEN=3),1136368,8814,14498
34,New Jersey,No cash rent (TEN=4),34348,2132,3507
34,New Jersey,Total vacant units,378628,5997,9865
34,New Jersey,For rent (VACS=1),54693,2797,4601
34,New Jersey,For sale only (VACS=3),36058,2600,4276
34,New Jersey,"All Other Vacant (VACS in 2,4,5,6,7)",287877,5996,9863
35,New Mexico,Total population,2095428,0,0
35,New Mexico,Housing unit population (RELP=0-15),2052505,0,0
35,New Mexico,GQ population (RELP=16-17),42923,0,0
35,New Mexico,GQ institutional population (RELP=16),25305,4,7
35,New Mexico,GQ noninstitutional population (RELP=17),17618,4,7
35,New Mexico,Total males (SEX=1),1040098,2884,4745
35,New Mexico,Total females (SEX=2),1055330,2884,4745
35,New Mexico,Age 0-4,119852,1207,1985
35,New Mexico,Age 5-9,126700,3769,6200
35,New Mexico,Age 10-14,150498,3731,6137
35,New Mexico,Age 15-19,143255,3274,5386
35,New Mexico,Age 20-24,142901,3180,5232
35,New Mexico,Age 25-34,276220,3391,5579
35,New Mexico,Age 35-44,255765,3367,5539
35,New Mexico,Age 45-54,237680,2796,4600
35,New Mexico,Age 55-59,131840,3673,6042
35,New Mexico,Age 60-64,141213,3712,6106
35,New Mexico,Age 65-74,222873,1768,2909
35,New Mexico,Age 75-84,104626,2424,3988
35,New Mexico,Age 85 and over,42005,2504,4120
35,New Mexico,Total housing units (TYPE=1),943232,109,180
35,New Mexico,Total occupied units,794092,3123,5137
35,New Mexico,"Owner occupied units (TEN in 1,2)",525388,5505,9056
35,New Mexico,"Renter occupied units (TEN in 3,4)",268704,4686,7708
35,New Mexico,Owned with a mortgage (TEN=1),281714,5144,8462
35,New Mexico,Owned free and clear (TEN=2),243674,4342,7142
35,New Mexico,Rented for cash (TEN=3),242143,4619,7599
35,New Mexico,No cash rent (TEN=4),26561,1941,3193
35,New Mexico,Total vacant units,149140,3131,5151
35,New Mexico,For rent (VACS=1),25337,2214,3643
35,New Mexico,For sale only (VACS=3),9460,1267,2084
35,New Mexico,"All Other Vacant (VACS in 2,4,5,6,7)",114343,3057,5029
36,New York,Total population,19542209,0,0
36,New York,Housing unit population (RELP=0-15),18969261,0,0
36,New York,GQ population (RELP=16-17),572948,0,0
36,New York,GQ institutional population (RELP=16),213962,15,25
36,New York,GQ noninstitutional population (RELP=17),358986,15,25
36,New York,Total males (SEX=1),9486882,7475,12296
36,New York,Total females (SEX=2),10055327,7475,12296
36,New York,Age 0-4,1128988,3700,6087
36,New York,Age 5-9,1079261,10223,16816
36,New York,Age 10-14,1160653,10072,16568
36,New York,Age 15-19,1200844,6030,9919
36,New York,Age 20-24,1293906,5573,9168
36,New York,Age 25-34,2880332,7281,11977
36,New York,Age 35-44,2443658,5801,9542
36,New York,Age 45-54,2551530,5344,8791
36,New York,Age 55-59,1331691,10918,17961
36,New York,Age 60-64,1261928,10442,17176
36,New York,Age 65-74,1807039,4042,6650
36,New York,Age 75-84,960704,6970,11466
36,New York,Age 85 and over,441675,7171,11796
36,New York,Total housing units (TYPE=1),8363847,526,866
36,New York,Total occupied units,7367014,10102,16618
36,New York,"Owner occupied units (TEN in 1,2)",3953143,14943,24582
36,New York,"Renter occupied units (TEN in 3,4)",3413871,14571,23969
36,New York,Owned with a mortgage (TEN=1),2351816,14013,23052
36,New York,Owned free and clear (TEN=2),1601327,11324,18627
36,New York,Rented for cash (TEN=3),3304806,15327,25213
36,New York,No cash rent (TEN=4),109065,3789,6232
36,New York,Total vacant units,996833,10185,16755
36,New York,For rent (VACS=1),150185,4623,7604
36,New York,For sale only (VACS=3),68812,3649,6003
36,New York,"All Other Vacant (VACS in 2,4,5,6,7)",777836,10417,17136
37,North Carolina,Total population,10383620,0,0
37,North Carolina,Housing unit population (RELP=0-15),10108186,0,0
37,North Carolina,GQ population (RELP=16-17),275434,0,0
37,North Carolina,GQ institutional population (RELP=16),109492,45,73
37,North Carolina,GQ noninstitutional population (RELP=17),165942,45,73
37,North Carolina,Total males (SEX=1),5050605,5559,9144
37,North Carolina,Total females (SEX=2),5333015,5559,9144
37,North Carolina,Age 0-4,594911,3391,5577
37,North Carolina,Age 5-9,627168,8600,14148
37,North Carolina,Age 10-14,675174,8925,14681
37,North Carolina,Age 15-19,704621,6684,10996
37,North Carolina,Age 20-24,676442,5709,9391
37,North Carolina,Age 25-34,1378130,6937,11412
37,North Carolina,Age 35-44,1325061,7241,11912
37,North Carolina,Age 45-54,1371930,6015,9895
37,North Carolina,Age 55-59,679832,8081,13293
37,North Carolina,Age 60-64,662713,7832,12884
37,North Carolina,Age 65-74,1012939,3606,5932
37,North Carolina,Age 75-84,493914,4511,7421
37,North Carolina,Age 85 and over,180785,3862,6353
37,North Carolina,Total housing units (TYPE=1),4684962,248,408
37,North Carolina,Total occupied units,4011469,10097,16609
37,North Carolina,"Owner occupied units (TEN in 1,2)",2612321,13633,22426
37,North Carolina,"Renter occupied units (TEN in 3,4)",1399148,11687,19225
37,North Carolina,Owned with a mortgage (TEN=1),1627093,12133,19958
37,North Carolina,Owned free and clear (TEN=2),985228,8329,13701
37,North Carolina,Rented for cash (TEN=3),1310407,11398,18750
37,North Carolina,No cash rent (TEN=4),88741,3860,6349
37,North Carolina,Total vacant units,673493,10023,16488
37,North Carolina,For rent (VACS=1),107407,4216,6935
37,North Carolina,For sale only (VACS=3),42162,3021,4969
37,North Carolina,"All Other Vacant (VACS in 2,4,5,6,7)",523924,9629,15840
38,North Dakota,Total population,760077,0,0
38,North Dakota,Housing unit population (RELP=0-15),734993,0,0
38,North Dakota,GQ population (RELP=16-17),25084,0,0
38,North Dakota,GQ institutional population (RELP=16),10026,9,15
38,North Dakota,GQ noninstitutional population (RELP=17),15058,9,15
38,North Dakota,Total males (SEX=1),390221,2214,3641
38,North Dakota,Total females (SEX=2),369856,2214,3641
38,North Dakota,Age 0-4,50384,1366,2246
38,North Dakota,Age 5-9,53115,1971,3242
38,North Dakota,Age 10-14,45225,2099,3453
38,North Dakota,Age 15-19,45260,1468,2415
38,North Dakota,Age 20-24,65324,2348,3863
38,North Dakota,Age 25-34,115282,2315,3808
38,North Dakota,Age 35-44,89981,1795,2953
38,North Dakota,Age 45-54,82277,1936,3185
38,North Dakota,Age 55-59,50551,1919,3156
38,North Dakota,Age 60-64,46957,2059,3388
38,North Dakota,Age 65-74,64088,670,1103
38,North Dakota,Age 75-84,33536,1425,2344
38,North Dakota,Age 85 and over,18097,1378,2266
38,North Dakota,Total housing units (TYPE=1),377661,218,359
38,North Dakota,Total occupied units,319354,2701,4443
38,North Dakota,"Owner occupied units (TEN in 1,2)",198574,4045,6655
38,North Dakota,"Renter occupied units (TEN in 3,4)",120780,3905,6424
38,North Dakota,Owned with a mortgage (TEN=1),105154,3948,6495
38,North Dakota,Owned free and clear (TEN=2),93420,3239,5329
38,North Dakota,Rented for cash (TEN=3),114928,3936,6475
38,North Dakota,No cash rent (TEN=4),5852,895,1472
38,North Dakota,Total vacant units,58307,2732,4494
38,North Dakota,For rent (VACS=1),14511,2306,3794
38,North Dakota,For sale only (VACS=3),3213,1027,1690
38,North Dakota,"All Other Vacant (VACS in 2,4,5,6,7)",40583,2504,4119
39,Ohio,Total population,11689442,0,0
39,Ohio,Housing unit population (RELP=0-15),11373848,0,0
39,Ohio,GQ population (RELP=16-17),315594,0,0
39,Ohio,GQ institutional population (RELP=16),163520,10,17
39,Ohio,GQ noninstitutional population (RELP=17),152074,10,17
39,Ohio,Total males (SEX=1),5733850,5908,9719
39,Ohio,Total females (SEX=2),5955592,5908,9719
39,Ohio,Age 0-4,690508,2990,4918
39,Ohio,Age 5-9,694726,8021,13195
39,Ohio,Age 10-14,751007,8143,13395
39,Ohio,Age 15-19,760171,5391,8868
39,Ohio,Age 20-24,760898,6124,10074
39,Ohio,Age 25-34,1531247,5868,9652
39,Ohio,Age 35-44,1407737,4884,8035
39,Ohio,Age 45-54,1484719,4210,6926
39,Ohio,Age 55-59,810595,7611,12520
39,Ohio,Age 60-64,804298,8144,13397
39,Ohio,Age 65-74,1150566,3125,5141
39,Ohio,Age 75-84,593144,5677,9338
39,Ohio,Age 85 and over,249826,5482,9018
39,Ohio,Total housing units (TYPE=1),5217617,430,708
39,Ohio,Total occupied units,4685445,7593,12490
39,Ohio,"Owner occupied units (TEN in 1,2)",3092294,13737,22597
39,Ohio,"Renter occupied units (TEN in 3,4)",1593151,12298,20231
39,Ohio,Owned with a mortgage (TEN=1),1930079,12895,21212
39,Ohio,Owned free and clear (TEN=2),1162215,10659,17534
39,Ohio,Rented for cash (TEN=3),1511004,12229,20117
39,Ohio,No cash rent (TEN=4),82147,3528,5804
39,Ohio,Total vacant units,532172,7775,12790
39,Ohio,For rent (VACS=1),96842,4539,7467
39,Ohio,For sale only (VACS=3),36259,2488,4092
39,Ohio,"All Other Vacant (VACS in 2,4,5,6,7)",399071,7145,11754
40,Oklahoma,Total population,3943079,0,0
40,Oklahoma,Housing unit population (RELP=0-15),3832980,0,0
40,Oklahoma,GQ population (RELP=16-17),110099,0,0
40,Oklahoma,GQ institutional population (RELP=16),62234,6,10
40,Oklahoma,GQ noninstitutional population (RELP=17),47865,6,10
40,Oklahoma,Total males (SEX=1),1949569,3775,6210
40,Oklahoma,Total females (SEX=2),1993510,3775,6210
40,Oklahoma,Age 0-4,257485,2509,4127
40,Oklahoma,Age 5-9,267856,5712,9396
40,Oklahoma,Age 10-14,276340,5836,9600
40,Oklahoma,Age 15-19,270382,4326,7116
40,Oklahoma,Age 20-24,258110,4407,7250
40,Oklahoma,Age 25-34,550118,5195,8545
40,Oklahoma,Age 35-44,496979,4578,7531
40,Oklahoma,Age 45-54,457201,4415,7263
40,Oklahoma,Age 55-59,252178,4063,6684
40,Oklahoma,Age 60-64,239061,4569,7517
40,Oklahoma,Age 65-74,361464,1974,3247
40,Oklahoma,Age 75-84,183421,3237,5326
40,Oklahoma,Age 85 and over,72484,2942,4840
40,Oklahoma,Total housing units (TYPE=1),1743073,182,299
40,Oklahoma,Total occupied units,1485306,3716,6113
40,Oklahoma,"Owner occupied units (TEN in 1,2)",971211,6809,11202
40,Oklahoma,"Renter occupied units (TEN in 3,4)",514095,6660,10956
40,Oklahoma,Owned with a mortgage (TEN=1),525075,8300,13653
40,Oklahoma,Owned free and clear (TEN=2),446136,6690,11005
40,Oklahoma,Rented for cash (TEN=3),468387,6411,10546
40,Oklahoma,No cash rent (TEN=4),45708,2510,4129
40,Oklahoma,Total vacant units,257767,3692,6073
40,Oklahoma,For rent (VACS=1),48661,2588,4257
40,Oklahoma,For sale only (VACS=3),20759,2207,3631
40,Oklahoma,"All Other Vacant (VACS in 2,4,5,6,7)",188347,3407,5604
41,Oregon,Total population,4190713,0,0
41,Oregon,Housing unit population (RELP=0-15),4102360,0,0
41,Oregon,GQ population (RELP=16-17),88353,0,0
41,Oregon,GQ institutional population (RELP=16),36995,7,11
41,Oregon,GQ noninstitutional population (RELP=17),51358,7,11
41,Oregon,Total males (SEX=1),2079703,2976,4895
41,Oregon,Total females (SEX=2),2111010,2976,4895
41,Oregon,Age 0-4,230427,1687,2775
41,Oregon,Age 5-9,236304,4515,7427
41,Oregon,Age 10-14,255264,4510,7419
41,Oregon,Age 15-19,248582,3550,5840
41,Oregon,Age 20-24,262328,3531,5809
41,Oregon,Age 25-34,595564,4023,6617
41,Oregon,Age 35-44,561070,3304,5435
41,Oregon,Age 45-54,517273,3307,5440
41,Oregon,Age 55-59,270280,4595,7559
41,Oregon,Age 60-64,273121,4676,7693
41,Oregon,Age 65-74,448164,2254,3708
41,Oregon,Age 75-84,209560,3024,4974
41,Oregon,Age 85 and over,82776,3028,4982
41,Oregon,Total housing units (TYPE=1),1788743,132,218
41,Oregon,Total occupied units,1639964,4250,6991
41,Oregon,"Owner occupied units (TEN in 1,2)",1028276,6965,11457
41,Oregon,"Renter occupied units (TEN in 3,4)",611688,6502,10696
41,Oregon,Owned with a mortgage (TEN=1),667499,7038,11578
41,Oregon,Owned free and clear (TEN=2),360777,5914,9729
41,Oregon,Rented for cash (TEN=3),589168,6301,10365
41,Oregon,No cash rent (TEN=4),22520,1647,2709
41,Oregon,Total vacant units,148779,4232,6961
41,Oregon,For rent (VACS=1),29433,2401,3949
41,Oregon,For sale only (VACS=3),13673,1519,2499
41,Oregon,"All Other Vacant (VACS in 2,4,5,6,7)",105673,3702,6090
42,Pennsylvania,Total population,12807060,0,0
42,Pennsylvania,Housing unit population (RELP=0-15),12385066,0,0
42,Pennsylvania,GQ population (RELP=16-17),421994,0,0
42,Pennsylvania,GQ institutional population (RELP=16),196570,68,112
42,Pennsylvania,GQ noninstitutional population (RELP=17),225424,68,112
42,Pennsylvania,Total males (SEX=1),6269216,6234,10254
42,Pennsylvania,Total females (SEX=2),6537844,6234,10254
42,Pennsylvania,Age 0-4,691190,4304,7079
42,Pennsylvania,Age 5-9,712657,8165,13432
42,Pennsylvania,Age 10-14,771596,8043,13231
42,Pennsylvania,Age 15-19,817212,5349,8800
42,Pennsylvania,Age 20-24,818483,6367,10474
42,Pennsylvania,Age 25-34,1685253,8059,13257
42,Pennsylvania,Age 35-44,1509753,6659,10954
42,Pennsylvania,Age 45-54,1659361,6654,10946
42,Pennsylvania,Age 55-59,915063,9176,15095
42,Pennsylvania,Age 60-64,896874,9358,15394
42,Pennsylvania,Age 65-74,1313352,3610,5939
42,Pennsylvania,Age 75-84,704777,6053,9958
42,Pennsylvania,Age 85 and over,311489,5718,9406
42,Pennsylvania,Total housing units (TYPE=1),5713136,267,439
42,Pennsylvania,Total occupied units,5070936,7385,12149
42,Pennsylvania,"Owner occupied units (TEN in 1,2)",3482881,14672,24135
42,Pennsylvania,"Renter occupied units (TEN in 3,4)",1588055,12976,21345
42,Pennsylvania,Owned with a mortgage (TEN=1),2083139,11500,18918
42,Pennsylvania,Owned free and clear (TEN=2),1399742,11662,19184
42,Pennsylvania,Rented for cash (TEN=3),1500961,13210,21730
42,Pennsylvania,No cash rent (TEN=4),87094,3629,5970
42,Pennsylvania,Total vacant units,642200,7429,12220
42,Pennsylvania,For rent (VACS=1),92018,4208,6923
42,Pennsylvania,For sale only (VACS=3),52583,3204,5270
42,Pennsylvania,"All Other Vacant (VACS in 2,4,5,6,7)",497599,7777,12792
44,Rhode Island,Total population,1057315,0,0
44,Rhode Island,Housing unit population (RELP=0-15),1016084,0,0
44,Rhode Island,GQ population (RELP=16-17),41231,0,0
44,Rhode Island,GQ institutional population (RELP=16),11792,2,4
44,Rhode Island,GQ noninstitutional population (RELP=17),29439,2,4
44,Rhode Island,Total males (SEX=1),514788,1339,2202
44,Rhode Island,Total females (SEX=2),542527,1339,2202
44,Rhode Island,Age 0-4,54530,966,1590
44,Rhode Island,Age 5-9,55979,1977,3252
44,Rhode Island,Age 10-14,55678,1810,2978
44,Rhode Island,Age 15-19,72675,1383,2276
44,Rhode Island,Age 20-24,77331,1814,2984
44,Rhode Island,Age 25-34,145878,1687,2776
44,Rhode Island,Age 35-44,124411,1412,2323
44,Rhode Island,Age 45-54,140003,1627,2677
44,Rhode Island,Age 55-59,72619,2298,3780
44,Rhode Island,Age 60-64,76045,2348,3862
44,Rhode Island,Age 65-74,103509,994,1635
44,Rhode Island,Age 75-84,52356,1541,2535
44,Rhode Island,Age 85 and over,26301,1436,2362
44,Rhode Island,Total housing units (TYPE=1),469153,51,84
44,Rhode Island,Total occupied units,406576,3017,4963
44,Rhode Island,"Owner occupied units (TEN in 1,2)",251486,3546,5833
44,Rhode Island,"Renter occupied units (TEN in 3,4)",155090,3372,5547
44,Rhode Island,Owned with a mortgage (TEN=1),172515,3399,5591
44,Rhode Island,Owned free and clear (TEN=2),78971,2388,3928
44,Rhode Island,Rented for cash (TEN=3),150353,3198,5260
44,Rhode Island,No cash rent (TEN=4),4737,755,1241
44,Rhode Island,Total vacant units,62577,3018,4965
44,Rhode Island,For rent (VACS=1),10799,1153,1897
44,Rhode Island,For sale only (VACS=3),4525,902,1484
44,Rhode Island,"All Other Vacant (VACS in 2,4,5,6,7)",47253,2467,4058
45,South Carolina,Total population,5084127,0,0
45,South Carolina,Housing unit population (RELP=0-15),4948304,0,0
45,South Carolina,GQ population (RELP=16-17),135823,0,0
45,South Carolina,GQ institutional population (RELP=16),58872,137,225
45,South Carolina,GQ noninstitutional population (RELP=17),76951,137,225
45,South Carolina,Total males (SEX=1),2469175,4362,7176
45,South Carolina,Total females (SEX=2),2614952,4362,7176
45,South Carolina,Age 0-4,287403,2071,3408
45,South Carolina,Age 5-9,308164,5469,8996
45,South Carolina,Age 10-14,324288,5297,8713
45,South Carolina,Age 15-19,342583,4494,7393
45,South Carolina,Age 20-24,331877,3673,6043
45,South Carolina,Age 25-34,646934,4192,6896
45,South Carolina,Age 35-44,624221,4423,7276
45,South Carolina,Age 45-54,641807,3505,5765
45,South Carolina,Age 55-59,344495,6016,9896
45,South Carolina,Age 60-64,333312,6160,10133
45,South Carolina,Age 65-74,553118,1852,3046
45,South Carolina,Age 75-84,263199,3292,5415
45,South Carolina,Age 85 and over,82726,2859,4704
45,South Carolina,Total housing units (TYPE=1),2318291,158,259
45,South Carolina,Total occupied units,1927998,7432,12226
45,South Carolina,"Owner occupied units (TEN in 1,2)",1336341,7816,12857
45,South Carolina,"Renter occupied units (TEN in 3,4)",591657,7660,12600
45,South Carolina,Owned with a mortgage (TEN=1),781205,8602,14150
45,South Carolina,Owned free and clear (TEN=2),555136,7237,11904
45,South Carolina,Rented for cash (TEN=3),538146,7398,12170
45,South Carolina,No cash rent (TEN=4),53511,3155,5191
45,South Carolina,Total vacant units,390293,7403,12178
45,South Carolina,For rent (VACS=1),66654,3913,6436
45,South Carolina,For sale only (VACS=3),22282,1824,3001
45,South Carolina,"All Other Vacant (VACS in 2,4,5,6,7)",301357,6809,11201
46,South Dakota,Total population,882235,0,0
46,South Dakota,Housing unit population (RELP=0-15),848192,0,0
46,South Dakota,GQ population (RELP=16-17),34043,0,0
46,South Dakota,GQ institutional population (RELP=16),14714,4,7
46,South Dakota,GQ noninstitutional population (RELP=17),19329,4,7
46,South Dakota,Total males (SEX=1),443566,2280,3750
46,South Dakota,Total females (SEX=2),438669,2280,3750
46,South Dakota,Age 0-4,61152,1883,3098
46,South Dakota,Age 5-9,58534,2336,3843
46,South Dakota,Age 10-14,61189,2586,4254
46,South Dakota,Age 15-19,61680,2246,3695
46,South Dakota,Age 20-24,59517,2297,3779
46,South Dakota,Age 25-34,113956,2307,3794
46,South Dakota,Age 35-44,106255,1882,3097
46,South Dakota,Age 45-54,97118,1268,2087
46,South Dakota,Age 55-59,56545,2419,3978
46,South Dakota,Age 60-64,60850,2554,4201
46,South Dakota,Age 65-74,84852,950,1563
46,South Dakota,Age 75-84,40368,1866,3070
46,South Dakota,Age 85 and over,20219,1674,2753
46,South Dakota,Total housing units (TYPE=1),397506,173,284
46,South Dakota,Total occupied units,345447,2073,3410
46,South Dakota,"Owner occupied units (TEN in 1,2)",234892,3888,6396
46,South Dakota,"Renter occupied units (TEN in 3,4)",110555,3758,6181
46,South Dakota,Owned with a mortgage (TEN=1),131272,3700,6087
46,South Dakota,Owned free and clear (TEN=2),103620,2994,4925
46,South Dakota,Rented for cash (TEN=3),102334,3709,6102
46,South Dakota,No cash rent (TEN=4),8221,994,1635
46,South Dakota,Total vacant units,52059,2115,3479
46,South Dakota,For rent (VACS=1),9692,1724,2836
46,South Dakota,For sale only (VACS=3),3044,839,1381
46,South Dakota,"All Other Vacant (VACS in 2,4,5,6,7)",39323,2269,3733
47,Tennessee,Total population,6770010,0,0
47,Tennessee,Housing unit population (RELP=0-15),6613418,0,0
47,Tennessee,GQ population (RELP=16-17),156592,0,0
47,Tennessee,GQ institutional population (RELP=16),86247,10,17
47,Tennessee,GQ noninstitutional population (RELP=17),70345,10,17
47,Tennessee,Total males (SEX=1),3301449,4403,7243
47,Tennessee,Total females (SEX=2),3468561,4403,7243
47,Tennessee,Age 0-4,402452,2653,4364
47,Tennessee,Age 5-9,412768,6063,9974
47,Tennessee,Age 10-14,436568,5275,8677
47,Tennessee,Age 15-19,438330,4178,6872
47,Tennessee,Age 20-24,438414,4063,6683
47,Tennessee,Age 25-34,909415,4594,7557
47,Tennessee,Age 35-44,850283,4200,6909
47,Tennessee,Age 45-54,887314,3845,6325
47,Tennessee,Age 55-59,448371,6228,10246
47,Tennessee,Age 60-64,443246,5933,9760
47,Tennessee,Age 65-74,656415,1925,3167
47,Tennessee,Age 75-84,332489,4429,7286
47,Tennessee,Age 85 and over,113945,3756,6178
47,Tennessee,Total housing units (TYPE=1),2992412,175,287
